id,title,description,price,sale_price,availability,condition,image_link,link,brand,google_product_category
107,"Steel Console Table With Marble Top ","The Console Table with a Marble Top is a stunning addition to any home, combining elegance with functionality. Crafted with a durable frame, this table features a luxurious marble top that adds a touch of sophistication to your space. Ideal for entryways, living rooms, or hallways, it provides a stylish surface for displaying decor, holding keys, or showcasing your favorite books.
The table is available in multiple sizes to suit your needs, ensuring it fits perfectly in your desired location. Additionally, you can choose from a variety of colors for the base, allowing you to customize the look to match your interior design. Whether you prefer a classic white marble or a bold colored base, this console table is designed to enhance your home's aesthetic while providing practical use.",43000.00 KES,null,out of stock,new,https://res.cloudinary.com/dtz6b2pip/image/upload/v1743290765/1743290724659_ijs5y5.png,https://bobbyfurniturekenya.com/product/107,Generic,Living Room - Console Tables
278,NOVA Kids Bunk Bed with Storage,"The NOVA Kids Bunk Bed is a smart, space-saving solution designed for modern family homes. It features an upper bunk, two lower pull-out beds, integrated side ladder, and a drawer storage unit, making it ideal for shared bedrooms while keeping the room organized and clutter-free.",185000.00 KES,null,in stock,new,https://res.cloudinary.com/dtz6b2pip/image/upload/v1769005507/20250827_033958_ijmyk9.jpg,https://bobbyfurniturekenya.com/product/278,Generic,Kids Room - Double Deckers
128,Modern Ceramic Vase,"Modern Ceramic Vase Fish Tall Design In Matte Black & White, Handcrafted with Snow Powder Mountain Patterns for Home Decor
Available in white and black",3500.00 KES,null,in stock,new,https://res.cloudinary.com/dtz6b2pip/image/upload/v1743541933/1743541703977_yaxmmh.png,https://bobbyfurniturekenya.com/product/128,Generic,Decor
89,"Preston Beige 5by6 Bed With 2 Nightstand ","The Grey Wooden Bed (5x6) is a beautifully crafted piece of furniture that combines elegance and comfort. Made from high-quality wood, this bed offers both durability and a timeless design that complements any bedroom decor. The spacious queen size ensures ample sleeping space, making it ideal for couples or individuals who enjoy extra room. With its sturdy construction and aesthetically pleasing wooden finish, this bed not only enhances your sleeping experience but also adds a touch of sophistication to your room.",52000.00 KES,null,in stock,new,https://res.cloudinary.com/dtz6b2pip/image/upload/v1748017718/20250523_192519_lvnrjx.jpg,https://bobbyfurniturekenya.com/product/89,Generic,Bedroom - Beds
93,"Chest Of Drawers ","Enhance your bedroom or living space with this stunning chest of drawers featuring a sleek marble top. Crafted for both style and practicality, this piece offers ample storage while adding a touch of luxury to your home. The chest of drawers is fully customizable to any color, ensuring it complements your décor perfectly. Ideal for storing clothes, accessories, or other essentials, this versatile piece offers a perfect balance of form and function. The durable marble top elevates its elegance, making it a timeless addition to any modern home.",35000.00 KES,null,in stock,new,https://res.cloudinary.com/dtz6b2pip/image/upload/v1743212407/1743212338937_jz0jpc.png,https://bobbyfurniturekenya.com/product/93,Generic,Bedroom - Wardrobes
97,5 feet Tv Stand T001,"The Tv Stand is designed to be both functional and stylish ponding enough space for your door and sound
you to showcase your decorative plants, or books
One of the standout features of this stand table color options enabling you to select a fish that perfectly complements your home decor Whether you prefer a sleek back a warm wood tone or a bright pop of color this stand can be tailored to match your aesthetic
Crafted from high-quality materials, the TV Stand ensures durability and stability making entemente
in your wing mom
areable choice for you
design not only enhances your viewing experience but also serves as a stylish focal po
Whether you're hosting a movie night or enjoying
cozy and miting atmosphere in your home
evening the TV Stand is the perfect addition to create a",25000.00 KES,null,in stock,new,https://res.cloudinary.com/dtz6b2pip/image/upload/v1743285976/1743285878781_pbdsfq.png,https://bobbyfurniturekenya.com/product/97,Generic,Living Room - TV Stands
96,Buffet Table in any type of colour,"Serve your guests in style with our elegant buffet table, perfect for dining and entertaining. This versatile piece offers ample storage space for dishes, cutlery, and linens, making it ideal for hosting gatherings or family meals. Crafted with a beautiful finish, it complements various decor styles while providing functionality. Its spacious surface is perfect for displaying food and drinks, ensuring that your entertaining setup is both practical and stylish. Elevate your dining experience with this must-have buffet table",28999.00 KES,null,in stock,new,https://res.cloudinary.com/dtz6b2pip/image/upload/v1743285315/1743285186102_gjsyas.png,https://bobbyfurniturekenya.com/product/96,Generic,Living Room - Console Tables
98,TV Stand T002,"Enhance your entertainment area with our contemporary TV stand designed for both style and functionality. The middle space is perfect for housing your soundbar while providing additional storage for media devices, books, or decorative items. Built with sturdy metallic support legs, this stand offers stability and a sleek look. Its curvy edges add a touch of elegance, making it a stylish addition to any living room. Whether you're watching your favorite shows or hosting movie nights, this TV stand is the perfect blend of practicality and modern design.",27999.00 KES,null,in stock,new,https://res.cloudinary.com/dtz6b2pip/image/upload/v1743286745/1743286505359_qjovio.png,https://bobbyfurniturekenya.com/product/98,Generic,Living Room - TV Stands
106,Steel Console Table With Marble Top,"The Console Table with a Marble Top is a stunning addition to any home, combining elegance with functionality. Crafted with a durable frame, this table features a luxurious marble top that adds a touch of sophistication to your space. Ideal for entryways, living rooms, or hallways, it provides a stylish surface for displaying decor, holding keys, or showcasing your favorite books.
The table is available in multiple sizes to suit your needs, ensuring it fits perfectly in your desired location. Additionally, you can choose from a variety of colors for the base, allowing you to customize the look to match your interior design. Whether you prefer a classic white marble or a bold colored base, this console table is designed to enhance your home's aesthetic while providing practical use.",34999.00 KES,null,in stock,new,https://res.cloudinary.com/dtz6b2pip/image/upload/v1743290765/1743290636246_ikuddn.png,https://bobbyfurniturekenya.com/product/106,Generic,Living Room - Console Tables
138,"Athens 3 Seater Chester ","Upgrade your living space with our stylish and spacious 3-seater sofa — the perfect blend of comfort and class. Expertly crafted with a sturdy hardwood frame and plush, high-density cushions, this sofa offers lasting durability and support. Wrapped in premium upholstery, it's soft to the touch and easy to clean, making it ideal for both everyday lounging and entertaining guests. The sleek design and neutral tones fit effortlessly into any décor.

Features:

Seats 3 adults comfortably

High-resilience foam cushions

Premium fabric/leather finish (customizable)

Strong wooden frame for long-term durability

Modern design with elegant stitching

Perfect for your home, office, or lounge space.",30000.00 KES,null,in stock,new,https://res.cloudinary.com/dtz6b2pip/image/upload/v1748019248/155124990de86c00d80e83916e95376c_blvrjp.jpg,https://bobbyfurniturekenya.com/product/138,Generic,Living Room - Sofas
