"Name","Category","Price","Stock","Description"
"(3by6) Top,(4by6) Bottom Double Decker","Kids Room - Double Deckers","38000.00","9","Upgrade your bedroom with our Double Decker 4x6 Bed, designed for both style and functionality. Featuring a sturdy staircase for easy access to the top bunk, plus built-in drawers for convenient storage. Perfect for saving space while offering a modern look and added organization. Ideal for families, kids' rooms, or shared spaces."
"2 in 1 Ceramic Vases","Decor","5800.00","9","2 In 1 Ceramic Decorative Ceramic Vases"
"3 Seater Light Grey Semi Recliner ","Living Room - Semi Recliners","36000.00","9","A 3 seater recliner is a spacious and luxurious seating arrangement designed for maximum comfort and functionality. It typically includes:  Three recliner seats (manual or electric) that allow users to lean back and elevate their feet.  Upholstery made of plush fabric, faux leather, or genuine leather for a soft and stylish finish.  Ample seating space for seven people, arranged in an L-shape or U-shape to suit living room layouts.  Padded armrests and backrests for enhanced comfort."
"3 Seater Terry Siesta ","Living Room - Sofas","36000.00","20","Bring elegance and comfort into your home with the Nairobi Luxe 3-Seater Sofa. Handcrafted for durability and designed for style, this sofa features deep seating, firm yet soft cushions, and a timeless silhouette that fits any modern or traditional living room. The smooth fabric finish is both breathable and easy to maintain, making it perfect for family use or formal spaces.

Key Features:

Seats 3 adults comfortably

Strong, termite-resistant wooden frame

Removable, washable cushion covers

Available in multiple colors"
"3by6 Top & 4by6 Bottom Double Decker With Storage Drawers","Kids Room - Double Deckers","65000.00","9","
The Double Decker Bed with a 3x6 Top and 4x6 Bottom is an excellent choice for maximizing space in any bedroom. This innovative design features a smaller top bunk suitable for children, while the bottom bunk provides ample sleeping space for teens or adults. The bed is equipped with convenient storage drawers underneath, perfect for keeping bedding, toys, or clothes organized and easily accessible. Crafted from durable materials, this bed ensures safety and stability, making it a practical and stylish addition to your home."
"4 Feet White TV Stand ","Living Room - TV Stands","22000.00","9","One of the standout features of this TV stand is its customizable color options, enabling you to select a finish that perfectly complements your home decor. Whether you prefer a sleek black, a warm wood tone, or a bright pop of color, this stand can be tailored to match your aesthetic.
Crafted from high-quality materials, the TV Stand ensures durability and stability, making it a reliable choice for your entertainment needs. Its design not only enhances your viewing experience but also serves as a stylish focal point in your living room.
Whether you're hosting a movie night or enjoying a quiet evening, the TV Stand is the perfect addition to create a cozy and inviting atmosphere in your home."
"4 Seater Chester Barizi Coach ","Living Room - Sofas","45000.00","20","Elevate your space with our Chesterfield Seat – a luxurious blend of tradition and comfort. Handcrafted with precision, this statement piece features deep button tufting, gracefully rolled arms, and a solid hardwood frame. Upholstered in premium fabric or leather of your choice, it’s perfect for both modern and classic interiors. Ideal for your living room, office, or reception area.

Premium tufted design

High-density cushions for extra comfort

Durable wood frame and quality finishing

Available in a variety of colors and textures"
"4by6 Brown Chester Bed","Bedroom - Beds","28500.00","9","Transform your bedroom into a haven of style and sophistication with our premium upholstered bed collection. Featuring a stunning blend of bold colors, elegant curves, and fine craftsmanship, each bed is designed to make a statement while offering unmatched comfort. Choose from rich velvet finishes like deep royal blue for a regal touch, or go for the clean, modern appeal of cream tones with gold accents.

These beds are crafted with high-quality wood frames and padded with durable, soft upholstery that adds both structure and style. From sleek vertical tufting to gracefully arched headboards, every design element is thoughtfully chosen to suit both contemporary and classic spaces."
"4by6 Bunk Bed With Drawers & Staircase","Kids Room - Double Deckers","58000.00","90","Maximize space and style with this blue wooden bunk bed, designed for both safety and functionality. Perfect for kids’ rooms or shared spaces, it features:

Upper and lower bunks with protective side rails for safety

Wide staircase access for easy and secure climbing

Integrated storage drawers built into the steps, ideal for toys, clothes, or bedding

Strong wooden slats for durable mattress support

Smooth blue finish that adds a calm and modern touch to any room"
"4by6 Charcoal Grey Classic Chester Bed ","Bedroom - Beds","28000.00","9","Add a touch of luxury and elegance to your bedroom with this stunning velvet upholstered bed. Featuring a bold royal blue finish, the bed is designed with a tall, vertically channeled headboard and a matching footboard for a cohesive and modern look. The plush fabric not only offers comfort but also elevates the room’s aesthetic. Perfect for both contemporary and classic interiors, this bed frame combines style and durability, built on a solid wooden structure for long-lasting support."
